十八线小城市，没有德克士,1539787679.0,626.0,0.0,保密,失去4级号的二狗,2.0,1.0
从你还在寝室吃播的时候关注到现在这么多粉丝的博主！替你开心！看你吃开心！德克士好吃！！,1539787449.0,611.0,0.0,保密,火火火哈,4.0,0.0
妈耶 德克士手枪腿最近真的好火,1539787321.0,607.0,0.0,保密,阿皑阿皑,2.0,0.0
学校没有德克士外卖！哭唧唧,1539787222.0,604.0,0.0,保密,不与傻子论短长,4.0,0.0
德克士很好吃的呀。而我只舍得点39元全翅桶🌝,1539786433.0,593.0,0.0,女,炒蛋大侠,4.0,0.0
看得好饿啊，我也想挑战百元德克士啊啊啊！,1539785539.0,569.0,0.0,保密,酒九旧_,5.0,0.0
我家没有德克士啊，华莱士行不行,1539785330.0,561.0,0.0,保密,李琳1993,2.0,0.0
可惜我们这里没有德克士,1539785292.0,560.0,0.0,女,一屿二儿,4.0,0.0
一百元这么多吗？？竟然觉得好值...(｀・ω・´)表示很少吃德克士这类的食品！！顶多也就吃过德克士的炸薯条而已...一包还16大洋呢...mmp吃不起...（/TДT)/,1539785018.0,549.0,0.0,女,一只会跳水的猫,4.0,0.0
德克士手枪腿超级好吃！德克士最爱！,1539784135.0,527.0,0.0,女,小小鹿98096,3.0,0.0
哭唧唧，我们这里没有德克士,1539783892.0,515.0,0.0,保密,圆圆yuanbiubiubiu,4.0,0.0
我吃过100元的德克士你帮我点吧,1539783856.0,514.0,0.0,保密,一只基佬k25,4.0,0.0
德克士8号18号28号，卡友日，所有正价单品+1元买一送一，还是蛮划算的,1539783815.0,513.0,0.0,保密,醋溜鸡,4.0,2.0
那必须最爱德克士炸鸡手枪腿，麦当劳薯条和肯德基汉堡(=・ω・=),1539783793.0,511.0,0.0,保密,落幕红酒而欢,4.0,0.0
我们这边没有德克士,1539783403.0,495.0,0.0,女,酒未懒,3.0,1.0
我学校点不到德克士外卖😤肯德基也木有，自从麦当劳配送费变成8块就再也没点过了( ‘-ωก̀ ),1539783236.0,490.0,1.0,女,颜吖吖呀,2.0,0.0
然鹅有德克士会员卡都没怎么去吃 想念手枪腿了……( ‘-ωก̀ ),1539782975.0,485.0,0.0,保密,山可翻海可平,4.0,0.0
啾咪阿尤，德克士手枪腿真的超好吃的！！！看阿尤吃好有食欲啊，馋死我了但是外卖好贵，阿尤抽中了就可以美滋滋的吃一顿啦，开心（我知道没有我呜呜呜呜）,1539782837.0,480.0,0.0,女,我看哪个幸运鹅中奖了,5.0,0.0
德克士手枪腿真的赞 幸福感满满！！！看到阿尤吃我就回想起它的味道了！！！,1539782819.0,479.0,1.0,女,由南向北_Elaine,4.0,0.0
想吃！！家附近就有一家德克士～,1539782775.0,478.0,0.0,女,橘子哟嗬,4.0,0.0
我的妈呀，德克士大鸡腿我的最爱真的 （魔法鸡块也好吃有鸡皮的）,1539782774.0,477.0,0.0,保密,Stella大王,5.0,0.0
想吃，好像上一次吃德克士是大学时候了，现在都要当妈了。,1539782426.0,466.0,1.0,保密,寳寳寳寳,3.0,0.0
我们这里没有德克士呀嘤嘤嘤,1539782242.0,456.0,0.0,保密,木傀傀傀,4.0,0.0
抽我，我就想吃德克士谢谢！,1539782075.0,449.0,0.0,保密,只能宠着还能怎么办,3.0,0.0
我好不容易找到一家德克士，我吃了两次它就倒闭了Σ( ￣□￣||)&lt;,1539781977.0,447.0,0.0,女,瞌睡少女呦,3.0,0.0
这几天学校附近的德克士搞活动，十五块钱一只手枪腿，已经吃几天了，但就是吃不腻（￣▽￣）,1539781876.0,443.0,0.0,保密,乾坤那个袋,4.0,0.0
德克士里手枪腿是最爱 没有之一,1539781576.0,434.0,0.0,保密,BTS六弟妹,2.0,0.0
