'name', 'addr', '外卖', '图片', '好评', '中评', '差评', '口味', '环境', '服务', 'price'
肯德基(新南广店),上海火车站南广场1层东南出口,0.0,43.0,42.0,14.0,8.0,7.2,7.3,7.1, 40 
肯德基(安信店),牡丹江路1255号安信商业广场F区,1.0,65.0,125.0,37.0,22.0,7.3,7.6,7.5, 40 
肯德基(江苏店),"江苏路398号1,2层",0.0,60.0,116.0,67.0,24.0,7.4,7.2,7.2, 23 
肯德基(凌兆店),灵岩南路1026号,1.0,70.0,127.0,41.0,30.0,7.1,7.2,7.1, 28 
肯德基(月浦店),龙镇路75号,1.0,39.0,147.0,26.0,20.0,7.5,7.4,7.2, 31 
肯德基(长临店),共康路555号,1.0,82.0,136.0,43.0,36.0,7.5,7.4,7.1, 30 
肯德基(松江万达店),广富林路658弄松江万达广场2002号商铺,0.0,34.0,39.0,5.0,5.0,7.7,8.0,7.9, 28 
肯德基(仲盛世界商城店),都市路5001号仲盛世界商城B1层,0.0,36.0,37.0,7.0,12.0,7.5,7.5,7.2, 25 
肯德基(通园店),张杨北路5537号,1.0,29.0,58.0,7.0,18.0,7.4,7.6,7.5, 23 
肯德基(国展店),"盈港东路158号国家会展中心（上海）之商业广场一层D-L114号,二层D-L220号",0.0,45.0,63.0,13.0,15.0,7.2,7.5,7.3, 54 
肯德基(柳州店),上海南站站厅层,0.0,59.0,75.0,25.0,14.0,7.3,7.1,7.1, 22 
肯德基(城湘店),梅家浜路1500弄101号,1.0,34.0,74.0,22.0,25.0,7.6,7.6,7.5, 32 
肯德基(罗店),月罗路2380号,1.0,36.0,83.0,13.0,15.0,7.7,7.5,7.5, 42 
肯德基(丰庄店),曹安路1685号,1.0,53.0,82.0,36.0,28.0,7.2,7.2,6.9, 31 
肯德基(新邻天地店),武威路1285号新邻天地1层,1.0,57.0,76.0,21.0,25.0,7.4,7.5,7.5, 30 
肯德基(嘉定城北店),平城路1188号1号商铺,1.0,43.0,54.0,31.0,21.0,7.3,7.2,7.1, 32 
肯德基(南广场店),秣陵路303号,1.0,179.0,261.0,197.0,108.0,6.8,6.7,6.5, 34 
肯德基(万里店),新村路1500号,1.0,69.0,111.0,50.0,31.0,7.2,7.2,7.0, 28 
肯德基(杨行店),水产路2449号一层,1.0,44.0,60.0,13.0,7.0,7.3,7.5,7.4, 33 
肯德基(南翔店),南翔镇解放街160号,1.0,51.0,104.0,38.0,23.0,7.4,7.4,7.2, 25 
肯德基(新里程店),浦东高青路2671号,1.0,64.0,115.0,24.0,21.0,7.6,7.5,7.6, 34 
肯德基(御桥店),沪南公路2420号一层,1.0,62.0,117.0,32.0,30.0,7.3,7.3,7.2, 28 
肯德基(万嘉商业广场店),东靖路1881号万嘉商业广场1层,1.0,69.0,130.0,42.0,39.0,7.4,7.4,7.1, 39 
肯德基(闵行店),江川路279号,1.0,54.0,112.0,45.0,24.0,7.3,7.2,7.1, 27 
肯德基(嘉定店),清河路8号,1.0,42.0,101.0,27.0,15.0,7.5,7.6,7.2, 40 
肯德基(嘉亭荟城市生活广场店),墨玉南路1033-1099号嘉亭荟城市生活广场1层,0.0,47.0,87.0,21.0,19.0,7.4,7.6,7.2, 25 
肯德基(徐泾店),育才路259号,1.0,28.0,68.0,14.0,25.0,7.0,7.0,7.0, 36 
肯德基(北广场店),上海火车站北广场1层北进站口,0.0,65.0,56.0,19.0,6.0,7.4,7.5,7.5, 35 
肯德基(陈行店),陈行公路2688号OMALL华侨城商业中心1层,1.0,77.0,125.0,28.0,53.0,7.5,7.6,7.4, 31 
肯德基,世纪大道红魔重庆美蛙火锅旁,0.0,1.0,3.0,0.0,0.0,7.3,7.3,7.3,-
肯德基(龙城店),七莘路3655,1.0,77.0,119.0,20.0,33.0,7.3,7.4,7.2, 36 
肯德基(龙翔店),蒙山北路399号,0.0,12.0,16.0,2.0,1.0,7.6,7.6,7.6, 22 
肯德基(南站精选店),上海南站站内2层,0.0,19.0,21.0,4.0,7.0,7.5,7.5,7.6, 29 
肯德基(豫园店),福佑路234号,0.0,61.0,89.0,70.0,49.0,6.9,6.8,6.7, 30 
肯德基(松江店),松江县中山中路99号,1.0,57.0,122.0,22.0,13.0,7.6,7.6,7.6, 23 
肯德基(奉城店),"奉贤镇城大路115号1,2楼",1.0,19.0,40.0,13.0,8.0,7.5,7.6,7.5, 28 
肯德基(虹桥连廊精选店),申昆路1500号3层CF322a,0.0,45.0,40.0,15.0,6.0,7.5,7.3,7.1, 29 
肯德基甜品站(五角场万达店),邯郸路608弄50号,0.0,7.0,7.0,2.0,1.0,7.4,7.1,7.0,-
肯德基(乐购店),七莘路3155号,1.0,83.0,128.0,33.0,24.0,7.6,7.8,7.5, 33 
肯德基(莘福路店),莘福路288号一层,0.0,8.0,9.0,0.0,1.0,7.3,7.2,6.9,-
肯德基(鸿音广场店),南芦公路1755弄鸿音广场1层,1.0,17.0,39.0,7.0,11.0,7.2,7.2,7.0, 30 
肯德基(柳州2店),南站站层,0.0,24.0,40.0,3.0,5.0,7.9,7.9,7.8, 26 
肯德基(思贤店),思贤路778--780号,1.0,45.0,72.0,29.0,13.0,7.4,7.5,7.5, 31 
肯德基(天宝店),新港路229-245号1楼11,0.0,70.0,104.0,55.0,29.0,7.3,7.1,7.0, 28 
肯德基(磁浮精选店),机场站磁悬浮站第二层编号为A07,0.0,50.0,70.0,47.0,18.0,7.1,7.1,7.0, 32 
肯德基(祝桥店),祝桥镇百熙路368弄13号一层,1.0,17.0,63.0,8.0,14.0,7.2,7.3,7.1, 37 
肯德基(九亭站店),轨道交通九亭站,0.0,38.0,43.0,6.0,6.0,7.1,7.5,7.4, 19 
肯德基(南桥宝龙店),"航南公路5639号,5699号宝龙商业广场2号楼",1.0,23.0,31.0,4.0,5.0,7.5,7.4,7.2, 39 
肯德基(新牡丹江店),同泰北路401号,0.0,55.0,67.0,19.0,21.0,7.3,7.1,7.2, 33 
肯德基(黄渡DT店),曹安路4671号上海协通大酒店停车场上建造房产及场地,1.0,17.0,42.0,13.0,9.0,7.5,7.6,7.5, 52 
肯德基(联富店),河南北路99号,0.0,33.0,44.0,20.0,11.0,7.3,7.2,7.1, 23 
